WorldRank,FIDE_Title,PlayerName,Country,URating,RGap,BGap,Gender,PlayerID,FIDE_PlayerCode,CountryRank,YearOfBirth,GameCount
1,GM,"Carlsen, Magnus",NOR,2864,13,38,M,16626,1503014,1,1990,0
2,GM,"Nakamura, Hikaru",USA,2803,14,42,M,36865,2016192,1,1987,0
3,GM,"Caruana, Fabiano",USA,2795,18,52,M,16854,2020009,2,1992,9
4,GM,"Wei, Yi",CHN,2781,22,61,M,92982,8603405,1,1999,0
5,GM,"Nepomniachtchi, Ian",RUS,2780,11,33,M,17888,4168119,1,1990,9
6,GM,"Abdusattorov, Nodirbek",UZB,2778,28,75,M,209733,14204118,1,2004,18
7,GM,"Firouzja, Alireza",FRA,2778,12,37,M,275162,12573981,1,2003,11
8,GM,Erigaisi Arjun,IND,2763,17,48,M,233141,35009192,1,2003,0
9,GM,"So, Wesley",USA,2761,12,35,M,12273,5202213,3,1993,9
10,GM,"Vachier-Lagrave, Maxime",FRA,2756,14,42,M,19841,623539,2,1990,11
11,GM,"Aronian, Levon",USA,2756,13,39,M,18076,13300474,4,1982,9
12,GM,Praggnanandhaa R,IND,2756,16,46,M,195117,25059530,2,2005,11
13,GM,"Artemiev, Vladislav",RUS,2754,10,29,M,74351,24101605,2,1998,17
14,GM,"Fedoseev, Vladimir",SLO,2753,16,46,M,6508,24130737,1,1995,0
15,GM,"Duda, Jan-Krzysztof",POL,2749,11,32,M,512,1170546,1,1998,9
16,GM,Gukesh D,IND,2745,45,103,M,320401,46616543,3,2006,9
17,GM,"Dubov, Daniil",RUS,2744,10,28,M,7547,24126055,3,1996,15
18,GM,"Giri, Anish",NED,2742,27,73,M,8448,24116068,1,1994,9
19,GM,"Mamedyarov, Shakhriyar",AZE,2739,18,51,M,18080,13401319,1,1985,0
20,GM,"Yu, Yangyi",CHN,2736,26,72,M,52140,8603820,2,1994,0
21,GM,"Sindarov, Javokhir",UZB,2736,22,62,M,297882,14205483,2,2005,7
22,GM,"Maghsoodloo, Parham",IRI,2733,13,39,M,174965,12539929,1,2000,21
23,GM,"Dominguez Perez, Leinier",USA,2730,41,99,M,80941,3503240,5,1983,0
24,GM,Nihal Sarin,IND,2726,16,47,M,221226,25092340,4,2004,9
25,GM,"Rapport, Richard",HUN,2723,25,69,M,13378,738590,1,1996,7
26,GM,"Anand, Viswanathan",IND,2721,16,45,M,18043,5000017,5,1969,0
27,GM,"Grischuk, Alexander",RUS,2719,12,36,M,8127,4126025,4,1983,39
28,GM,"Ding, Liren",CHN,2719,17,49,M,67927,8603677,3,1992,0
29,GM,"Karjakin, Sergey",RUS,2716,24,66,M,8323,14109603,5,1990,0
